"46,055",$4.253b,$1.26m,$91m,$198.01m,$26.96b,$84.312b,3.66m,12.44m,
"46,056",$4.202b,$1.13m,$73.3m,$129.71m,$26.81b,$84.154b,3.71m,12.45m,
"46,057",$4.15b,$1.05m,$81.24m,$446.8m,$27.046b,$84.055b,3.71m,12.35m,
"46,058",$4.052b,$1.12m,$149.48m,$228.15m,$26.787b,$84.72b,3.59m,12.23m,
"46,059",$3.751b,$1.08m,$125.53m,$245.64m,$25.53b,$84.8b,3.56m,11.93m,
"46,060",$4.274b,"706,431",$64.38m,$157.35m,$25.946b,$84.824b,3.31m,10.64m,
"46,061",$4.111b,"620,500",$45.05m,$137.78m,$26.338b,$84.855b,3.26m,10.11m,
"46,062",$4.135b,$1.03m,$83.18m,$137.24m,$26.329b,$85.992b,3.52m,11.73m,
"46,063",$4.088b,$1.05m,$43m,$119.53m,$26.393b,$85.81b,3.68m,11.98m,
"46,064",$4.045b,"971,725",$70.11m,$118.67m,$26.32b,$85.723b,3.63m,11.63m,
"46,065",$3.999b,"948,201",$43.52m,$86.2m,$26.309b,$85.72b,3.6m,11.5m,
"46,066",$4.005b,"984,163",$71.84m,$87.44m,$26.489b,$85.741b,3.59m,11.56m,
"46,067",$4.059b,"700,449",$27.92m,$86.5m,$26.705b,$84.741b,3.34m,10.49m,
"46,068",$4.054b,"676,425",$27.79m,$93.16m,$26.75b,$84.752b,3.35m,10.36m ,
"46,069",$4.053b,"861,199",$43.39m,$85.27m,$26.559b,$84.732b,3.44m,10.58m,
"46,070",$4.073b,"784,369",$49.35m,$71.98m,$26.945b,$84.679b,3.49m,10.25m,
"46,071",$4.051b,"724,710",$31.43m,$70.42m,$26.711b,$84.583b,3.43m,10.03m,
"46,072",$3.993b,"741,514",$43.76m,$85.48m,$26.39b,$84.559b,3.39m,9.97m,
"46,073",$4.07b,"791,126",$84.61m,$85.71m,$26.964b,$84.634b,3.43m,10.23m,
"46,074",$4.107b,"598,131",$27.43m,$61.18m,$27.027b,$85.151b,2.88m,9.03m,
"46,075",$4.161b,"536,287",$33.57m,$74.89m,$27.366b,$84.922b,2.77m,8.74m,
"46,076",$4.139b,"811,971",$73.01m,$102.02m,$27.504b,$86.146b,3.17m,10.22m,
"46,077",$4.007b,"890,324",$59.4m,$106.98m,$26.663b,$86.159b,3.29m,10.8m,
"46,078",$4.063b,"900,881",$63.81m,$100.37m,$26.838b,$86.166b,3.19m,10.81m,
"46,079",$4.246b,"879,885",$54.78m,$292.03m,$27.026b,$86.181b,3.26m,10.56m,
"46,080",$4.208b,"962,884",$48.13m,$323.75m,$27.063b,$86.032b,3.32m,11.09m,
"46,081",$4.125b,"772,967",$49.52m,$79.05m,$26.799b,$86.109b,2.91m,9.83m,
"46,082",$4.047b,"706,100",$34.63m,$82.53m,$26.715b,$86.035b,3.09m,10.14m TXs,
"46,083",$3.99b,$1.1m,$32.23m,$100.21m,$26.594b,$86.155b,3.28m,11.57m,
"46,084",$4.048b,$1.13m,$52.16m,$104.34m,$26.838b,$86.128b,3.34m,11.41m,
"46,085",$3.998b,$1.02m,$70.32m,$116.65m,$26.578b,$86.168b,3.31m,11.34m,
"46,086",$4.157b,$1.02m,$73.37m,$111.16m,$27.2b,$86.178b,3.23m,11.28m,
"46,087",$4.113b,$1m,$52.58m,$166.51m,$27.016b,$86.724b,3.33m,11.46m,
"46,088",$4.052b,"708,229",$26.47m,$71.78m,$26.971b,$86.721b,3.12m,10.32m,
"46,089",$4.004b,"649,346",$41.47m,$76.87m,$27.15b,$86.719b,3.01m,9.96m,
"46,090",$4.048b,$1.01m,$76.72m,$97.79m,$27.387b,$86.742b,3.3m,11.44m,
"46,091",$4.056b,$1.13m,$57.8m,$69.41m,$27.049b,$86.735b,3.31m,11.74m,
"46,092",$3.853b,"976,664",$69.43m,$75.49m,$27.087b,$86.667b,3.29m,11.3m,
"46,093",$3.889b,"947,419",$50.26m,$70.64m,$27.564b,$86.819b,3.08m,10.92m,
"46,094",$3.932b,$1.01m,$60.42m,$94.1m,$27.393b,$86.825b,3.17m,11.07m,
"46,095",$3.942b,"720,397",$64.54m,$64.75m,$27.8b,$86.842b,2.95m,10.01m,
"46,096",$3.989b,"762,110",$29.51m,$53.22m,$28.238b,$86.839b,2.91m,10.23m,
"46,097",$4.056b,$1.1m,$54.75m,$110.39m,$28.314b,$86.821b,2.9m,11.05m,
"46,098",$4.092b,$1.13m,$81.91m,$70.37m,$28.018b,$86.811b,2.99m,11.0m,
"46,099",$4.158b,$1.1m,$86.88m,$65.84m,$29.059b,$85.288b,3.02m,10.97m,
"46,100",$4.066b,$1.09m,$89.04m,$53.32m,$28.843b,$85.304b,2.87m,10.76m,
"46,101",$4.033b,"983,550",$84.05m,$73.71m,$28.745b,$86.179b,2.94m,10.67m,
"46,102",$4.066b,"680,280",$75.3m,$42.69m,$29.367b,$86.197b,2.7m,9.53m,
"46,103",$4.07b,"639,036",$113.47m,$56.72m,$29.578b,$86.187b,2.61m,9.33m,
"46,104",$4.044b,$1.12m,$82.81m,$107.13m,$29.41b,$86.091b,2.92m,11m,
"46,105",$4.112b,$1.01m,$85.89m,$177.61m,$29.121b,$86.112b,2.95m,10.75m,
"46,106",$4.082b,"967,634",$41.56m,$49.76m,$29.003b,$86.058b,2.94m,10.75m,
"46,107",$4.15b,"995,454",$42.14m,$78.12m,$29.854b,$86.047b,2.91m,10.79m,
"46,108",$4.084b,"981,135",$72.07m,$84.73m,$29.489b,$86.035b,2.93m,10.72m,
"46,109",$4.024b,"683,302",$59.7m,$50.83m,$29.427b,$86.044b,2.51m,9.14m,
"46,110",$4.064b,"644,585",$62.86m,$55.42m,$29.991b,$86.037b,2.62m,9.19m,
"46,111",$4.52b,$1.06m,$73.22m,$88.74m,$30.486b,$86.231b,2.92m,10.83m TXs,
"46,112",$4.516b,$1.16m,$70.8m,$150.17m,$30.24b,$86.205b,3.06m,11.38m TXs,
,,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Base,,,,
"46,023",$4.447b,"44,978",$306.31m,$280.07m,,,,,
"46,024",$4.492b,"107,476",$926.13m,$651.88m,,,,,
"46,025",$4.644b,"82,641",$512.43m,$360.66m,,,,,
"46,026",$4.692b,"103,565",$570.8m,$349.97m,,,,,
"46,027",$4.739b,"152,634",$1b,$514.51m,,,,,
"46,028",$4.859b,"139,968",$887.15m,$676.42m,,,,,
"46,029",$4.847b,"109,755",$892.16m,$429.27m,,,,,
"46,030",$4.756b,"116,037",$895.93m,$472.1m,,,,,
"46,031",$4.72b,"130,892",$872.57m,$528.67m,,,,,
"46,032",$4.724b,"41,138",$456.96m,$166.88m,,,,,
"46,033",$4.721b,"56,930",$529.2m,$225.44m,,,,,
"46,034",$4.739b,"103,663",$1.132b,$517.43m,,,,,
"46,035",$4.778b,"151,203",$1.392b,$541.99m,,,,,
"46,036",$5.198b,"145,721",$1.44b,$548.14m,,,,,
"46,037",$5.175b,"153,156",$1.386b,$791.49m,,,,,
"46,038",$5.155b,"119,673",$801.4m,$507.09m,,,,,
"46,039",$5.172b,"85,084",$469.69m,$273.19m,,,,,
"46,040",$5.282b,"83,949",$628.33m,$450.08m,,,,,
"46,041",$5.121b,"129,741",$1b,$610.73m,,,,,
"46,042",$5.118b,"204,689",$1.335b,$829.08m,,,,,
"46,043",$4.848b,"174,645",$1.473b,$719.11m,,,,,
"46,044",$4.944b,"120,927",$1.481b,$357.09m,,,,,
"46,045",$4.919b,"118,825",$1.103b,$335.2m,,,,,
"46,046",$4.902b,"49,385",$850.04m,$156.29m,,,,,
"46,047",$4.84b,"181,680",$1.13b,$350.47m,,,,,
"46,048",$4.684b,"116,585",$1.123b,$304.43m,,,,,
"46,049",$4.794b,"136,467",$1.026b,$389.97m,,,,,
"46,050",$4.846b,"171,087",$1.149b,$564.35m,,,,,
"46,051",$4.813b,"359,661",$1.218b,$545.26m,,,,,
"46,052",$4.635b,"718,431",$1.735b,$397.72m,,,,,
"46,053",$4.566b,$1.26m,$1.829b,$344m,,,,,
"46,054",$4.282b,"693,178",$1.411b,$500.65m,,,,,
"46,055",$4.184b,"553,590",$1.268b,$563.83m,,,,,
"46,056",$4.276b,"560,410",$1.398b,$497.28m,,,,,
"46,057",$4.203b,"547,911",$1.331b,$617.82m,,,,,
"46,058",$4.086b,$1.77m,$2.253b,$761.6m,,,,,
"46,059",$3.637b,"614,645",$1.655b,$571.05m,,,,,
"46,060",$3.997b,"416,217",$1.436b,$423.64m,,,,,
"46,061",$4.009b,"166,123",$719.98m,$471.11m,,,,,
"46,062",$4.026b,"156,273",$902.88m,$492.52m,,,,,
"46,063",$4.064b,"134,997",$754.65m,$388.32m,,,,,
"46,064",$3.989b,"176,557",$882.05m,$497.2m,,,,,
"46,065",$3.917b,"124,439",$794.67m,$369.45m,,,,,
"46,066",$3.915b,"160,390",$1.021b,$687.32m,,,,,
"46,067",$3.901b,"110,269",$430.37m,$269.55m,,,,,
"46,068",$3.897b,"146,476",$606.92m,$301.8m,,,,,
"46,069",$3.882b,"104,632",$700.45m,$332.83m,,,,,
"46,070",$3.917b,"173,274",$970.94m,$437.94m,,,,,
"46,071",$3.858b,"144,591",$691.1m,$397.57m,,,,,
"46,072",$3.797b,"138,066",$943.42m,$300.55m,,,,,
"46,073",$3.839b,"136,638",$771.95m,$409.15m,,,,,
"46,074",$3.872b,"93,850",$667.46m,$304.66m,,,,,
"46,075",$3.9b,"74,911",$381.44m,$257.46m,,,,,
"46,076",$3.838b,"142,048",$745.6m,$375.64m,,,,,
"46,077",$3.754b,"141,911",$749.07m,$417.98m,,,,,
"46,078",$3.729b,"203,348",$1.085b,$492.29m,,,,,
"46,079",$3.94b,"165,704",$910.02m,$372.43m,,,,,
"46,080",$3.881b,"138,796",$1.083b,$365.68m,,,,,
"46,081",$3.827b,"155,536",$992.61m,$413.59m,,,,,
"46,082",$3.871b,"167,583",$1.058b,$412.39m,,,,,
"46,083",$3.834b,"176,496",$1.204b,$528.26m,,,,,
"46,084",$3.969b,"132,427",$1.062b,$404.46m,,,,,
"46,085",$3.924b,"163,581",$1.129b,$485.39m,,,,,
"46,086",$4.194b,"105,461",$833.66m,$563.9m,,,,,
"46,087",$4.124b,"86,138",$719.84m,$679.22m,,,,,
"46,088",$3.992b,"66,308",$342.45m,$380.79m,,,,,
"46,089",$3.977b,"83,731",$625.26m,$490.79m,,,,,
"46,090",$3.932b,"99,654",$1.018b,$611.15m,,,,,
"46,091",$4.008b,"109,569",$994.22m,$438.69m,,,,,
"46,092",$4.084b,"86,833",$721.55m,$509.96m,,,,,
"46,093",$4.093b,"98,007",$828.5m,$494.09m,,,,,
"46,094",$4.173b,"124,687",$906.06m,$426.56m,,,,,
"46,095",$4.146b,"59,109",$394.8m,$243.78m,,,,,
"46,096",$4.165b,"87,919",$548.96m,$410.97m,,,,,
"46,097",$4.238b,"151,867",$955.68m,$446.03m,,,,,
"46,098",$4.353b,"118,002",$837.74m,$304.55m,,,,,
"46,099",$4.324b,"90,117",$778.26m,$411.56m,,,,,
"46,100",$4.219b,"110,946",$780.84m,$353.21m,,,,,
"46,101",$4.131b,"80,803",$725.53m,$239m,,,,,
"46,102",$4.153b,"52,900",$304.15m,$154.1m,,,,,
"46,103",$4.092b,"80,848",$627.76m,$396.88m,,,,,
"46,104",$4.017b,"199,642",$1.203b,$469.47m,,,,,
"46,105",$4.156b,"89,947",$745.01m,$382.12m,,,,,
"46,106",$4.154b,"76,849",$679.56m,$373.07m,,,,,
"46,107",$4.183b,"84,394",$599.81m,$388.75m,,,,,
"46,108",$4.041b,"94,611",$691.14m,$382.6m,,,,,
"46,109",$3.961b,"70,303",$447.58m,$228.91m,,,,,
"46,110",$3.958b,"44,937",$396.83m,$406.12m,,,,,
"46,111",$3.934b,"87,566",$839.54m,$370.23m,,,,,
"46,112",$3.974b,"91,046",$858.07m,$356.9m,,,,,
